,datetime,1,1.1,0.0023,0.0003,100.0,518.67,643.02,1585.29,1398.21,14.62,21.61,553.90,2388.04,9050.17,1.30,47.20,521.72,2388.03,8125.55,8.4052,0.03,392,2388,100.00,38.86,23.3735,hours,datetime_diff,1_diff,1.1_diff,0.0023_diff,0.0003_diff,0.0003_diff2,100.0_diff,518.67_diff,643.02_diff,1585.29_diff,1398.21_diff,14.62_diff,21.61_diff,553.90_diff,2388.04_diff,2388.04_diff2,9050.17_diff,1.30_diff,47.20_diff,47.20_diff2,521.72_diff,2388.03_diff,8125.55_diff,8.4052_diff,0.03_diff,392_diff,2388_diff,100.00_diff,38.86_diff,23.3735_diff
0,2023-01-01 02:00:00,1,2,-0.0027,-0.0003,100.0,518.67,641.71,1588.45,1395.42,14.62,21.61,554.85,2388.01,9054.42,1.3,47.5,522.16,2388.06,8139.62,8.3803,0.03,393,2388,100.0,39.02,23.3916,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-01-01 03:00:00,1,3,0.0003,0.0001,100.0,518.67,642.46,1586.94,1401.34,14.62,21.61,554.11,2388.05,9056.96,1.3,47.5,521.97,2388.03,8130.1,8.4441,0.03,393,2388,100.0,39.08,23.4166,2,0 days 01:00:00,0.0,1.0,0.003,0.00039999999999999996,,0.0,0.0,0.75,-1.509999999999991,5.919999999999845,0.0,0.0,-0.7400000000000091,0.03999999999996362,,2.539999999999054,0.0,0.0,,-0.18999999999994088,-0.02999999999974534,-9.519999999999527,0.06380000000000052,0.0,0.0,0.0,0.0,0.05999999999999517,0.02499999999999858
2,2023-01-01 04:00:00,1,4,0.0042,0.0,100.0,518.67,642.44,1584.12,1406.42,14.62,21.61,554.07,2388.03,9045.29,1.3,47.28,521.38,2388.05,8132.9,8.3917,0.03,391,2388,100.0,39.0,23.3737,3,0 days 01:00:00,0.0,1.0,0.0039,-0.0001,-0.0005,0.0,0.0,-0.01999999999998181,-2.8200000000001637,5.080000000000155,0.0,0.0,-0.03999999999996362,-0.01999999999998181,-0.05999999999994543,-11.669999999998254,0.0,-0.21999999999999886,-0.21999999999999886,-0.5900000000000318,0.01999999999998181,2.7999999999992724,-0.052400000000000446,0.0,-2.0,0.0,0.0,-0.0799999999999983,-0.042899999999999494
3,2023-01-01 05:00:00,1,5,0.0014,0.0,100.0,518.67,642.51,1587.19,1401.92,14.62,21.61,554.16,2388.01,9044.55,1.3,47.31,522.15,2388.03,8129.54,8.4031,0.03,390,2388,100.0,38.99,23.413,4,0 days 01:00:00,0.0,1.0,-0.0027999999999999995,0.0,0.0001,0.0,0.0,0.06999999999993634,3.0700000000001637,-4.5,0.0,0.0,0.08999999999991815,-0.01999999999998181,0.0,-0.7400000000016007,0.0,0.030000000000001137,0.25,0.7699999999999818,-0.01999999999998181,-3.3599999999996726,0.011400000000000077,0.0,-1.0,0.0,0.0,-0.00999999999999801,0.03930000000000078
4,2023-01-01 06:00:00,1,6,0.0012,0.0003,100.0,518.67,642.11,1579.12,1395.13,14.62,21.61,554.22,2388.0,9050.96,1.3,47.26,521.92,2388.08,8127.46,8.4238,0.03,392,2388,100.0,38.91,23.3467,5,0 days 01:00:00,0.0,1.0,-0.0002000000000000001,0.0003,0.0003,0.0,0.0,-0.39999999999997726,-8.070000000000164,-6.789999999999964,0.0,0.0,0.06000000000005912,-0.010000000000218279,0.009999999999763531,6.4099999999998545,0.0,-0.05000000000000426,-0.0800000000000054,-0.2300000000000182,0.04999999999972715,-2.0799999999999272,0.02069999999999972,0.0,2.0,0.0,0.0,-0.0800000000000054,-0.0663000000000018
5,2023-01-01 07:00:00,1,7,-0.0,0.0002,100.0,518.67,642.11,1583.34,1404.84,14.62,21.61,553.89,2388.05,9051.39,1.3,47.31,522.01,2388.06,8134.97,8.3914,0.03,391,2388,100.0,38.85,23.3952,6,0 days 01:00:00,0.0,1.0,-0.0012,-9.999999999999996e-05,-0.00039999999999999996,0.0,0.0,0.0,4.220000000000027,9.709999999999809,0.0,0.0,-0.3300000000000409,0.0500000000001819,0.06000000000040018,0.43000000000029104,0.0,0.05000000000000426,0.10000000000000853,0.09000000000003183,-0.01999999999998181,7.510000000000218,-0.032399999999999096,0.0,-1.0,0.0,0.0,-0.05999999999999517,0.048500000000000654
6,2023-01-01 08:00:00,1,8,0.0006,-0.0,100.0,518.67,642.54,1580.89,1400.89,14.62,21.61,553.59,2388.05,9052.86,1.3,47.21,522.09,2388.06,8125.93,8.4213,0.03,393,2388,100.0,39.05,23.3224,7,0 days 01:00:00,0.0,1.0,0.0006,-0.0002,-0.00010000000000000005,0.0,0.0,0.42999999999995,-2.449999999999818,-3.949999999999818,0.0,0.0,-0.2999999999999545,0.0,-0.0500000000001819,1.4700000000011642,0.0,-0.10000000000000142,-0.15000000000000568,0.08000000000004093,0.0,-9.039999999999964,0.029899999999999594,0.0,2.0,0.0,0.0,0.19999999999999574,-0.07280000000000086
7,2023-01-01 09:00:00,1,9,-0.0036,0.0,100.0,518.67,641.88,1593.29,1412.28,14.62,21.61,554.49,2388.06,9048.55,1.3,47.37,522.03,2388.05,8134.15,8.4353,0.03,391,2388,100.0,39.1,23.4521,8,0 days 01:00:00,0.0,1.0,-0.0042,0.0,0.0002,0.0,0.0,-0.6599999999999682,12.399999999999864,11.389999999999873,0.0,0.0,0.8999999999999773,0.009999999999763531,0.009999999999763531,-4.31000000000131,0.0,0.1599999999999966,0.259999999999998,-0.06000000000005912,-0.009999999999763531,8.219999999999345,0.013999999999999346,0.0,-2.0,0.0,0.0,0.05000000000000426,0.12970000000000326
8,2023-01-01 10:00:00,1,10,-0.0025,-0.0001,100.0,518.67,642.07,1585.25,1398.64,14.62,21.61,554.28,2388.04,9051.95,1.3,47.14,522.0,2388.06,8134.08,8.4093,0.03,391,2388,100.0,38.87,23.382,9,0 days 01:00:00,0.0,1.0,0.0010999999999999998,-0.0001,-0.0001,0.0,0.0,0.19000000000005457,-8.039999999999964,-13.639999999999873,0.0,0.0,-0.21000000000003638,-0.01999999999998181,-0.02999999999974534,3.400000000001455,0.0,-0.22999999999999687,-0.38999999999999346,-0.029999999999972715,0.009999999999763531,-0.06999999999970896,-0.0259999999999998,0.0,0.0,0.0,0.0,-0.23000000000000398,-0.07010000000000005
9,2023-01-01 11:00:00,1,11,0.0007,-0.0004,100.0,518.67,642.04,1581.03,1403.83,14.62,21.61,554.69,2388.04,9051.67,1.3,47.23,521.95,2388.06,8132.38,8.3919,0.03,391,2388,100.0,39.06,23.3609,10,0 days 01:00:00,0.0,1.0,0.0032,-0.00030000000000000003,-0.00020000000000000004,0.0,0.0,-0.030000000000086402,-4.220000000000027,5.189999999999827,0.0,0.0,0.41000000000008185,0.0,0.01999999999998181,-0.28000000000065484,0.0,0.0899999999999963,0.3199999999999932,-0.049999999999954525,0.0,-1.699999999999818,-0.017400000000000304,0.0,0.0,0.0,0.0,0.19000000000000483,-0.021100000000000563
